Dataset Index,Prediction value of prediction target,COL_____,COL______1,COL___,COL____1,COL__1,B7,B8,COL____,PV,SV,COL____2,COL____3,COL____4,COL______,date_time
81,24.9129,RA,H,24.7,32.3,24.9,24.5,24.8,45.8,31.8,25.83,400.11,0.66,0.39,0.39,2022-03-10 09:00:00
82,24.8847,RA,H,25.5,32.8,24.6,25.2,25.8,45.8,32.2,27.0,399.74,0.66,0.39,0.39,2022-03-10 10:00:00
83,24.3117,RA,C,25.8,19.2,24.0,25.8,25.2,43.5,19.6,20.9,396.93,51.34,30.7,8.31,2022-03-10 13:00:00
84,24.3527,RA,C,26.0,19.1,24.6,25.8,25.2,42.7,19.0,20.19,402.39,0.69,0.4,7.48,2022-03-10 14:00:00
85,24.2891,RA,C,25.9,17.6,24.6,25.8,25.2,42.4,17.6,19.66,403.81,0.7,0.41,11.37,2022-03-10 15:00:00
86,24.2853,RA,C,25.7,18.6,24.0,25.7,25.1,43.2,18.6,20.69,402.28,0.69,0.4,6.67,2022-03-10 16:00:00
87,24.3506,RA,C,25.0,19.5,24.3,25.8,25.1,42.4,19.4,20.58,409.36,0.71,0.42,5.84,2022-03-10 17:00:00
88,24.3187,RA,C,24.5,18.7,24.4,25.9,25.1,42.6,19.0,20.59,408.67,0.71,0.42,8.69,2022-03-10 18:00:00
89,24.1783,RA,C,24.0,19.0,24.1,25.8,25.1,42.9,18.8,23.46,408.69,0.71,0.42,5.79,2022-03-10 19:00:00
90,24.8309,RA,H,24.7,31.7,24.7,25.1,24.2,46.7,31.4,26.22,401.35,0.67,0.39,0.4,2022-03-11 08:00:00
91,24.7696,RA,H,25.3,31.9,24.6,25.0,24.7,45.7,31.4,27.45,402.49,0.67,0.39,0.39,2022-03-11 09:00:00
92,24.8779,RA,H,25.8,32.4,24.0,25.4,25.7,45.7,32.0,26.46,405.19,0.67,0.4,0.39,2022-03-11 10:00:00
93,24.3745,RA,C,26.4,17.2,24.2,25.8,25.3,42.6,17.4,17.98,399.33,48.97,29.01,8.59,2022-03-11 16:00:00
94,24.2396,RA,C,25.8,16.5,24.5,25.7,25.0,42.5,16.6,19.37,407.49,0.71,0.42,9.99,2022-03-11 17:00:00
95,24.2496,RA,C,24.5,16.4,24.2,25.6,25.0,43.0,17.0,19.43,404.52,50.86,30.58,9.7,2022-03-11 18:00:00
96,24.7209,RA,H,24.8,30.7,24.3,25.0,24.2,48.4,30.2,26.33,406.74,0.68,0.4,0.41,2022-03-12 03:00:00
97,24.8309,RA,H,24.7,31.7,24.6,24.2,24.4,48.7,31.2,26.22,405.96,0.68,0.4,0.4,2022-03-12 04:00:00
98,24.9162,RA,H,24.8,32.3,24.7,24.9,24.5,49.1,31.8,25.7,406.28,0.68,0.4,0.4,2022-03-12 05:00:00
99,24.9753,RA,H,24.8,32.8,24.8,24.5,24.6,49.1,32.2,25.54,405.99,0.68,0.4,0.4,2022-03-12 06:00:00
100,24.974,RA,H,24.9,33.1,24.9,24.8,24.6,49.3,32.6,26.04,405.37,0.68,0.4,0.4,2022-03-12 07:00:00
101,24.9394,RA,H,25.8,33.5,24.6,24.6,24.9,49.6,33.0,27.34,408.53,0.68,0.41,0.4,2022-03-12 08:00:00
102,25.0523,RA,H,26.6,33.9,25.1,24.1,25.4,50.2,33.4,26.13,409.26,0.68,0.41,0.41,2022-03-12 09:00:00
103,24.4326,RA,H,28.4,19.8,24.1,25.1,24.7,47.3,19.6,15.65,408.96,0.68,0.4,0.41,2022-03-12 16:00:00
104,24.5165,RA,C,28.3,21.0,25.0,25.9,25.5,48.0,21.4,19.76,406.31,72.67,46.01,5.83,2022-03-12 17:00:00
105,24.4336,RA,C,27.6,18.1,24.1,24.8,24.7,47.4,18.0,18.02,407.4,30.67,14.75,16.72,2022-03-12 18:00:00
106,24.4913,RA,H,26.6,24.7,24.1,24.6,24.4,47.6,24.6,20.39,407.25,0.68,0.4,0.4,2022-03-12 20:00:00
107,24.611,RA,H,26.4,27.5,24.5,24.6,24.7,48.1,27.0,22.72,406.4,0.68,0.4,0.4,2022-03-12 21:00:00
108,24.6937,RA,H,26.5,29.5,25.0,24.4,25.0,48.7,29.0,24.69,408.59,0.68,0.4,0.41,2022-03-12 22:00:00
109,24.8483,RA,H,26.8,31.1,24.4,24.3,25.4,49.4,30.6,24.82,407.44,0.68,0.4,0.41,2022-03-12 23:00:00
110,25.0031,RA,H,26.9,32.3,25.0,24.3,25.7,49.8,31.8,24.23,409.83,0.69,0.41,0.41,2022-03-13 00:00:00
111,25.0705,RA,H,27.1,33.4,24.6,24.3,26.0,50.3,32.8,24.99,410.65,0.69,0.41,0.41,2022-03-13 01:00:00
112,24.4428,RA,C,29.2,11.5,24.0,25.9,24.0,45.3,12.2,12.48,407.08,52.49,31.9,16.68,2022-03-13 15:00:00
113,24.4434,RA,C,28.9,10.0,24.7,25.8,24.0,45.0,10.4,11.16,409.27,0.71,0.42,17.37,2022-03-13 16:00:00
114,24.4869,RA,C,26.3,23.0,24.0,25.6,24.1,47.4,23.2,22.55,409.35,55.8,34.32,13.78,2022-03-14 03:00:00
115,24.6152,RA,H,27.1,26.9,24.8,25.6,25.1,44.3,26.6,21.76,396.7,0.66,0.38,0.38,2022-03-14 10:00:00
116,24.3695,RA,C,27.5,13.4,24.0,25.2,24.9,42.5,14.0,14.96,400.18,52.96,31.92,19.77,2022-03-14 13:00:00
117,24.369,RA,C,27.3,13.9,24.9,25.1,24.9,42.1,14.0,15.36,398.02,0.68,0.39,11.54,2022-03-14 14:00:00
118,24.3948,RA,C,27.7,13.2,24.0,25.4,25.1,42.5,13.8,14.43,397.94,53.0,31.9,14.79,2022-03-14 15:00:00
119,24.396,RA,C,27.7,14.1,25.0,25.6,25.3,42.1,14.4,15.17,399.46,0.69,0.4,11.08,2022-03-14 16:00:00
120,24.3819,RA,C,27.6,12.9,24.0,25.7,25.4,42.1,13.4,14.36,404.25,0.7,0.41,15.79,2022-03-14 17:00:00
121,24.2209,RA,C,25.8,13.8,24.0,25.6,24.2,43.5,13.8,17.29,406.64,0.7,0.41,9.96,2022-03-14 20:00:00
122,24.6291,RA,H,27.0,27.1,24.2,25.5,24.3,44.4,26.8,21.84,397.42,0.66,0.38,0.39,2022-03-15 09:00:00
123,24.4307,RA,C,28.3,10.2,24.1,26.0,24.1,42.9,11.0,11.43,395.85,72.47,45.01,38.86,2022-03-15 13:00:00
124,24.4301,RA,C,28.1,8.1,24.8,25.1,24.7,42.6,8.8,9.67,396.95,51.5,30.85,29.77,2022-03-15 14:00:00
125,24.3842,RA,C,27.6,14.5,24.8,25.6,25.6,42.1,14.6,15.67,401.53,0.69,0.4,9.46,2022-03-15 16:00:00
126,24.3582,RA,C,26.5,13.2,24.4,25.6,25.7,42.9,13.4,14.86,404.56,0.72,0.42,15.31,2022-03-15 18:00:00
127,24.3457,RA,C,26.4,13.1,24.4,25.5,25.0,43.0,13.8,14.96,396.75,130.28,80.05,18.22,2022-03-15 19:00:00
128,24.2029,RA,C,25.7,13.1,24.2,25.2,24.0,43.0,13.2,16.96,403.05,0.71,0.42,15.9,2022-03-15 20:00:00
129,24.5496,RA,C,26.8,23.3,24.6,25.7,24.8,43.6,23.2,21.97,400.6,47.52,28.02,4.32,2022-03-16 10:00:00
130,24.3938,RA,C,27.3,17.0,24.5,25.9,25.2,43.2,17.4,17.61,403.41,0.7,0.41,22.68,2022-03-16 11:00:00
131,24.3697,RA,C,27.5,13.8,24.1,25.9,25.4,42.6,14.4,15.29,401.95,52.61,31.79,22.88,2022-03-16 12:00:00
132,24.4207,RA,C,28.1,10.9,24.2,26.0,25.5,42.2,11.6,12.14,400.04,50.99,31.25,17.15,2022-03-16 15:00:00
133,24.3939,RA,C,27.6,10.1,24.8,25.9,25.3,42.5,10.8,11.83,403.27,51.83,31.36,18.25,2022-03-16 16:00:00
134,24.3799,RA,C,27.4,10.3,24.1,26.0,25.4,42.5,10.8,12.18,404.14,52.41,31.79,19.28,2022-03-16 17:00:00
135,24.3913,RA,C,27.1,10.2,24.4,26.0,25.3,42.5,10.4,11.9,405.02,0.7,0.41,16.93,2022-03-16 18:00:00
136,24.4574,RA,C,26.7,19.7,24.5,25.1,24.2,42.8,19.6,19.12,400.82,0.69,0.4,6.7,2022-03-17 10:00:00
137,24.456,RA,C,27.0,19.1,24.8,25.6,24.9,42.9,19.6,18.57,396.85,53.21,32.06,9.28,2022-03-17 11:00:00
138,24.3897,RA,C,27.3,16.8,24.3,25.7,24.9,42.6,17.0,17.5,406.73,0.7,0.41,15.85,2022-03-17 12:00:00
139,24.3728,RA,C,27.5,14.9,24.4,26.0,25.1,42.5,15.4,16.16,395.17,53.91,32.43,16.2,2022-03-17 13:00:00
140,24.396,RA,C,27.7,12.8,24.0,26.0,25.2,42.1,13.0,14.07,395.82,0.68,0.39,16.9,2022-03-17 15:00:00
141,24.3703,RA,C,27.3,12.9,24.7,25.7,24.9,42.0,13.4,14.5,396.93,50.81,30.34,14.79,2022-03-17 16:00:00
142,24.3954,RA,C,27.0,10.5,24.4,25.5,24.7,42.3,11.6,12.08,400.23,131.41,81.3,22.85,2022-03-17 18:00:00
143,24.3976,RA,C,26.8,10.6,25.0,25.4,24.7,42.3,11.0,12.11,403.66,0.72,0.42,19.8,2022-03-17 19:00:00
144,24.3436,RA,C,26.3,9.6,24.2,24.5,24.0,42.2,9.8,12.05,406.96,0.72,0.42,23.27,2022-03-17 22:00:00
